,ŠIFRA,NAZIV
549,4646,Trgovina na veliko farmaceutskim proizvodima
550,4647,"Trgovina na veliko nameštajem, tepisima i opremom za osvetljenje"
551,4648,Trgovina na veliko satovima i nakitom
552,4649,Trgovina na veliko ostalim proizvodima za domaćinstvo
553,465,Trgovina na veliko informaciono-komunikacionom opremom
554,4651,"Trgovina na veliko računarima, računarskom opremom i softverima"
555,4652,Trgovina na veliko elektronskim i telekomunikacionim delovima i opremom
556,466,"Trgovina na veliko ostalim mašinama, opremom i priborom"
557,4661,"Trgovina na veliko poljoprivrednim mašinama, opremom i priborom"
558,4662,Trgovina na veliko alatnim mašinama
559,4663,Trgovina na veliko rudarskim i građevinskim mašinama
560,4664,Trgovina na veliko mašinama za tekstilnu industriju i mašinama za šivenje i pletenje
561,4665,Trgovina na veliko kancelarijskim nameštajem
562,4666,Trgovina na veliko ostalim kancelarijskim mašinama i opremom
563,4669,Trgovina na veliko ostalim mašinama i opremom
564,467,Ostala specijalizovana trgovina na veliko
565,4671,"Trgovina na veliko čvrstim, tečnim i gasovitim gorivima i sličnim proizvodima"
566,4672,Trgovina na veliko metalima i metalnim rudama
567,4673,"Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom"
568,4674,"Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje"
569,4675,Trgovina na veliko hemijskim proizvodima
570,4676,Trgovina na veliko ostalim poluproizvodima
571,4677,Trgovina na veliko otpacima i ostacima
572,469,Nespecijalizovana trgovina na veliko
573,4690,Nespecijalizovana trgovina na veliko
574,47,"Trgovina na malo, osim trgovine motornim vozilima i motociklima"
575,471,Trgovina na malo u nespecijalizovanim prodavnicama
576,4711,"Trgovina na malo u nespecijalizovanim prodavnicama, pretežno hranom, pićima i duvanom"
577,4719,Ostala trgovina na malo u nespecijalizovanim prodavnicama
578,472,"Trgovina na malo hranom, pićima i duvanom u specijalizovanim prodavnicama"
579,4721,Trgovina na malo voćem i povrćem u specijalizovanim prodavnicama
580,4722,Trgovina na malo mesom i proizvodima od mesa u specijalizovanim prodavnicama
581,4723,"Trgovina na malo ribom, ljuskarima i mekušcima u specijalizovanim prodavnicama"
582,4724,"Trgovina na malo hlebom, testeninom, kolačima i slatkišima u specijalizovanim prodavnicama"
583,4725,Trgovina na malo pićima u specijalizovanim prodavnicama
584,4726,Trgovina na malo proizvodima od duvana u specijalizovanim prodavnicama
585,4729,Ostala trgovina na malo hranom u specijalizovanim prodavnicama
586,473,Trgovina na malo motornim gorivima u specijalizovanim prodavnicama
587,4730,Trgovina na malo motornim gorivima u specijalizovanim prodavnicama
588,474,Trgovina na malo informaciono-komunikacionom opremom u specijalizovanim prodavnicama
589,4741,"Trgovina na malo računarima, perifernim jedinicama i softverom u specijalizovanim prodavnicama"
590,4742,Trgovina na malo telekomunikacionom opremom u specijalizovanim prodavnicama
591,4743,Trgovina na malo audio i video opremom u specijalizovanim prodavnicama
592,475,Trgovina na malo ostalom opremom za domaćinstvo u specijalizovanim prodavnicama
593,4751,Trgovina na malo tekstilom u specijalizovanim prodavnicama
594,4752,"Trgovina na malo metalnom robom, bojama i staklom u specijalizovanim prodavnicama"
595,4753,"Trgovina na malo tepisima, zidnim i podnim oblogama u specijalizovanim prodavnicama"
596,4754,Trgovina na malo električnim aparatima za domaćinstvo u specijalizovanim prodavnicama
597,4759,"Trgovina na malo nameštajem, opremom za osvetljenje i ostalim predmetima za domaćinstvo u specijalizovanim prodavnicama"
598,476,Trgovina na malo predmetima za kulturu i rekreaciju u specijalizovanim prodavnicama
599,4761,Trgovina na malo knjigama u specijalizovanim prodavnicama
600,4762,Trgovina na malo novinama i kancelarijskim materijalom u specijalizovanim prodavnicama
601,4763,Trgovina na malo muzičkim i video zapisima u specijalizovanim prodavnicama
602,4764,Trgovina na malo sportskom opremom u specijalizovanim prodavnicama
603,4765,Trgovina na malo igrama i igračkama u specijalizovanim prodavnicama
604,477,Trgovina na malo ostalom robom u specijalizovanim prodavnicama
605,4771,Trgovina na malo odećom u specijalizovanim prodavnicama
606,4772,Trgovina na malo obućom i predmetima od kože u specijalizovanim prodavnicama
607,4773,Trgovina na malo farmaceutskim proizvodima u specijalizovanim prodavnicama – apotekama
608,4774,Trgovina na malo medicinskim i ortopedskim pomagalima u specijalizovanim prodavnicama
609,4775,Trgovina na malo kozmetičkim i toaletnim proizvodima u specijalizovanim prodavnicama
610,4776,"Trgovina na malo cvećem, sadnicama, semenjem, đubrivima, kućnim ljubimcima i hranom za kućne ljubimce u specijalizovanim prodavnicama"
611,4777,Trgovina na malo satovima i nakitom u specijalizovanim prodavnicama
612,4778,Ostala trgovina na malo novim proizvodima u specijalizovanim prodavnicama
613,4779,Trgovina na malo polovnom robom u prodavnicama
614,478,Trgovina na malo na tezgama i pijacama
615,4781,"Trgovina na malo hranom, pićima i duvanskim proizvodima na tezgama i pijacama"
616,4782,"Trgovina na malo tekstilom, odećom i obućom na tezgama i pijacama"
617,4789,Trgovina na malo ostalom robom na tezgama i pijacama
618,479,"Trgovina na malo van prodavnica, tezgi i pijaca"
619,4791,Trgovina na malo posredstvom pošte ili preko interneta
620,4799,"Ostala trgovina na malo izvan prodavnica, tezgi i pijaca"
622,49,Kopneni saobraćaj i cevovodni transport
623,491,"Železnički prevoz putnika, daljinski i regionalni"
624,4910,"Železnički prevoz putnika, daljinski i regionalni"
625,492,Železnički prevoz tereta
626,4920,Železnički prevoz tereta
627,493,Ostali kopneni prevoz putnika
628,4931,Gradski i prigradski kopneni prevoz putnika
629,4932,Taksi prevoz
630,4939,Ostali prevoz putnika u kopnenom saobraćaju
631,494,Drumski prevoz tereta i usluge preseljenja
632,4941,Drumski prevoz tereta
633,4942,Usluge preseljenja
634,495,Cevovodni transport
635,4950,Cevovodni transport
636,50,Vodeni saobraćaj
637,501,Pomorski i priobalni prevoz putnika
638,5010,Pomorski i priobalni prevoz putnika
639,502,Pomorski i priobalni prevoz tereta
640,5020,Pomorski i priobalni prevoz tereta
641,503,Prevoz putnika unutrašnjim plovnim putevima
642,5030,Prevoz putnika unutrašnjim plovnim putevima
643,504,Prevoz tereta unutrašnjim plovnim putevima
644,5040,Prevoz tereta unutrašnjim plovnim putevima
645,51,Vazdušni saobraćaj
646,511,Vazdušni prevoz putnika
647,5110,Vazdušni prevoz putnika
648,512,Vazdušni prevoz tereta i vasionski saobraćaj
649,5121,Vazdušni prevoz tereta
650,5122,Vasionski saobraćaj
651,52,Skladištenje i prateće aktivnosti u saobraćaju
652,521,Skladištenje
653,5210,Skladištenje
654,522,Prateće aktivnosti u saobraćaju
655,5221,Uslužne delatnosti u kopnenom saobraćaju
656,5222,Uslužne delatnosti u vodenom saobraćaju
657,5223,Uslužne delatnosti u vazdušnom saobraćaju
658,5224,Manipulacija teretom
659,5229,Ostale prateće delatnosti u saobraćaju
660,53,Poštanske aktivnosti
661,531,Poštanske aktivnosti javnog servisa
662,5310,Poštanske aktivnosti javnog servisa
663,532,Poštanske aktivnosti komercijalnog servisa
664,5320,Poštanske aktivnosti komercijalnog servisa
666,55,Smeštaj
667,551,Hoteli i sličan smeštaj
668,5510,Hoteli i sličan smeštaj
669,552,Odmarališta i slični objekti za kraći boravak
670,5520,Odmarališta i slični objekti za kraći boravak
671,553,"Delatnost kampova, auto-kampova i kampova za turističke prikolice "
672,5530,"Delatnost kampova, auto-kampova i kampova za turističke prikolice"
673,559,Ostali smeštaj
674,5590,Ostali smeštaj
675,56,Delatnost pripremanja i posluživanja hrane i pića
676,561,Delatnosti restorana i pokretnih ugostiteljskih objekta
677,5610,Delatnosti restorana i pokretnih ugostiteljskih objekta
678,562,Ketering i ostale usluge pripremanja i posluživanja hrane
679,5621,Ketering
680,5629,Ostale usluge pripremanja i posluživanja hrane
681,563,Usluge pripremanja i posluživanja pića
682,5630,Usluge pripremanja i posluživanja pića
684,58,Izdavačke delatnosti
685,581,"Izdavanje knjiga, časopisa i druge izdavačke delatnosti"
686,5811,Izdavanje knjiga
687,5812,Izdavanje imenika i adresara
688,5813,Izdavanje novina
689,5814,Izdavanje časopisa i periodičnih izdanja
690,5819,Ostala izdavačka delatnost
691,582,Izdavanje softvera
692,5821,Izdavanje računarskih igara
693,5829,Izdavanje ostalih softvera
694,59,"Kinematografska i televizijska produkcija, snimanje zvučnih zapisa i izdavanje muzičkih zapisa"
695,591,Kinematografska i televizijska produkcija
696,5911,"Proizvodnja kinematografskih dela, audio-vizuelnih proizvoda i televizijskog programa"
697,5912,Delatnosti koje slede nakon faze snimanja u proizvodnji kinematografskih dela i televizijskog programa
698,5913,"Distribucija kinematografskih dela, audio-vizuelnih dela i televizijskog programa"
699,5914,Delatnost prikazivanja kinematografskih dela
700,592,Snimanje i izdavanje zvučnih zapisa i muzike
701,5920,Snimanje i izdavanje zvučnih zapisa i muzike
702,60,Programske aktivnosti i emitovanje
703,601,Emitovanje radio-programa
704,6010,Emitovanje radio-programa
705,602,Proizvodnja i emitovanje televizijskog programa
706,6020,Proizvodnja i emitovanje televizijskog programa
707,61,Telekomunikacije
708,611,Kablovske telekomunikacije
709,6110,Kablovske telekomunikacije
710,612,Bežične telekomunikacije
711,6120,Bežične telekomunikacije
712,613,Satelitske telekomunikacije
713,6130,Satelitske telekomunikacije
714,619,Ostale telekomunikacione delatnosti
715,6190,Ostale telekomunikacione delatnosti
716,62,"Računarsko programiranje, konsultantske i s tim povezane delatnosti"
717,620,"Računarsko programiranje, konsultantske i s tim povezane delatnosti"
718,6201,Računarsko programiranje
719,6202,Konsultantske delatnosti u oblasti informacione tehnologije
720,6203,Upravljanje računarskom opremom
721,6209,Ostale usluge informacione tehnologije
722,63,Informacione uslužne delatnosti
723,631,"Obrada podataka, hosting i s tim povezane delatnosti; veb portali"
724,6311,"Obrada podataka, hosting i sl."
725,6312,Veb portali
726,639,Ostale informacione uslužne delatnosti
727,6391,Delatnosti novinskih agencija
728,6399,Informacione uslužne delatnosti na drugom mestu nepomenute
730,64,"Finansijske usluge, osim osiguranja i penzijskih fondova"
731,641,Monetarno posredovanje
732,6411,Centralna banka
733,6419,Ostalo monetarno posredovanje
734,642,Delatnost holding kompanija
735,6420,Delatnost holding kompanija
736,643,"Poverenički fondovi (trastovi), investicioni fondovi i slični finansijski entiteti"
737,6430,"Poverenički fondovi (trastovi), investicioni fondovi i slični finansijski entiteti"
738,649,"Ostale finansijske usluge, osim osiguranja i penzijskih fondova"
739,6491,Finansijski lizing
740,6492,Ostale usluge kreditiranja
741,6499,"Ostale nepomenute finansijske usluge, osim osiguranja i penzijskih fondova"
742,65,"Osiguranje, reosiguranje i penzijski fondovi, osim obaveznog socijalnog osiguranja"
743,651,Osiguranje
744,6511,Životno osiguranje
745,6512,Neživotno osiguranje
746,652,Reosiguranje
747,6520,Reosiguranje
748,653,Penzijski fondovi
749,6530,Penzijski fondovi
750,66,Pomoćne delatnosti u pružanju finansijskih usluga i osiguranju
751,661,"Pomoćne delatnosti u pružanju finansijskih usluga, osim osiguranja i penzijskih fondova"
752,6611,Finansijske i robne berze
753,6612,Brokerski poslovi s hartijama od vrednosti i berzanskom robom
754,6619,"Ostale pomoćne delatnosti u pružanju finansijskih usluga, osim osiguranja i penzijskih fondova"
755,662,Pomoćne delatnosti u osiguranju i penzijskim fondovima
756,6621,Obrada odštetnih zahteva i procenjivanje rizika i šteta
757,6622,Delatnost zastupnika i posrednika u osiguranju
758,6629,Ostale pomoćne delatnosti u osiguranju i penzijskim fondovima
759,663,Upravljanje fondovima
760,6630,Upravljanje fondovima
762,68,Poslovanje nekretninama
763,681,Kupovina i prodaja vlastitih nekretnina
764,6810,Kupovina i prodaja vlastitih nekretnina
765,682,Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
766,6820,Iznajmljivanje vlastitih ili iznajmljenih nekretnina i upravljanje njima
767,683,Poslovanje nekretninama za naknadu
768,6831,Delatnost agencija za nekretnine
769,6832,Upravljanje nekretninama za naknadu
771,69,Pravni i računovodstveni poslovi
772,691,Pravni poslovi
773,6910,Pravni poslovi
774,692,"Računovodstveni, knjigovodstveni i revizorski poslovi; poresko savetovanje"
775,6920,"Računovodstveni, knjigovodstveni i revizorski poslovi; poresko savetovanje"
776,70,Upravljačke delatnosti; savetovanje u vezi sa upravljanjem
777,701,Upravljanje ekonomskim subjektom
778,7010,Upravljanje ekonomskim subjektom
779,702,Menadžerski konsultantski poslovi
780,7021,Delatnost komunikacija i odnosa s javnošću
781,7022,Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem
782,71,Arhitektonske i inženjerske delatnosti; inženjersko ispitivanje i analize
783,711,Arhitektonske i inženjerske delatnosti i tehničko savetovanje
784,7111,Arhitektonska delatnost
785,7112,Inženjerske delatnosti i tehničko savetovanje
786,712,Tehničko ispitivanje i analize
787,7120,Tehničko ispitivanje i analize
788,72,Naučno istraživanje i razvoj
789,721,Istraživanje i eksperimentalni razvoj u prirodnim i tehničko-tehnološkim naukama
790,7211,Istraživanje i eksperimentalni razvoj u biotehnologiji
791,7219,Istraživanje i razvoj u ostalim prirodnim i tehničko-tehnološkim naukama
792,722,Istraživanje i razvoj u društvenim i humanističkim naukama
793,7220,Istraživanje i razvoj u društvenim i humanističkim naukama
794,73,Reklamiranje i istraživanje tržišta
795,731,Reklamiranje
796,7311,Delatnost reklamnih agencija
797,7312,Medijsko predstavljanje
798,732,Istraživanje tržišta i ispitivanje javnog mnjenja
799,7320,Istraživanje tržišta i ispitivanje javnog mnjenja
800,74,"Ostale stručne, naučne i tehničke delatnosti"
801,741,Specijalizovane dizajnerske delatnosti
802,7410,Specijalizovane dizajnerske delatnosti
803,742,Fotografske usluge
804,7420,Fotografske usluge
805,743,Prevođenje i usluge tumača
806,7430,Prevođenje i usluge tumača
807,749,"Ostale stručne, naučne i tehničke delatnosti"
808,7490,"Ostale stručne, naučne i tehničke delatnosti"
809,75,Veterinarske delatnosti
810,750,Veterinarska delatnost
811,7500,Veterinarska delatnost
813,77,Iznajmljivanje i lizing
814,771,Iznajmljivanje i lizing motornih vozila
815,7711,Iznajmljivanje i lizing automobila i lakih motornih vozila
816,7712,Iznajmljivanje i lizing kamiona
817,772,Iznajmljivanje i lizing predmeta za ličnu upotrebu i upotrebu u domaćinstvu
818,7721,Iznajmljivanje i lizing opreme za rekreaciju i sport
819,7722,Iznajmljivanje video-kaseta i kompakt-diskova
820,7729,Iznajmljivanje i lizing ostalih predmeta za ličnu upotrebu i upotrebu u domaćinstvu
821,773,"Iznajmljivanje i lizing mašina, opreme i materijalnih dobara"
822,7731,Iznajmljivanje i lizing poljoprivrednih mašina i opreme
823,7732,Iznajmljivanje i lizing mašina i opreme za građevinarstvo
824,7733,Iznajmljivanje i lizing kancelarijskih mašina i kancelarijske opreme (uključujući računare)
825,7734,Iznajmljivanje i lizing opreme za vodeni transport
826,7735,Iznajmljivanje i lizing opreme za vazdušni transport
827,7739,"Iznajmljivanje i lizing ostalih mašina, opreme i materijalnih dobara"
828,774,"Lizing intelektualne svojine i sličnih proizvoda, autorskih dela i predmeta srodnih prava"
829,7740,"Lizing intelektualne svojine i sličnih proizvoda, autorskih dela i predmeta srodnih prava"
830,78,Delatnosti zapošljavanja
831,781,Delatnost agencija za zapošljavanje
832,7810,Delatnost agencija za zapošljavanje
833,782,Delatnost agencija za privremeno zapošljavanje
834,7820,Delatnost agencija za privremeno zapošljavanje
835,783,Ostalo ustupanje ljudskih resursa
836,7830,Ostalo ustupanje ljudskih resursa
837,79,"Delatnost putničkih agencija, tur-operatora, usluge rezervacije i prateće aktivnosti"
838,791,Delatnost putničkih agencija i tur-operatora
839,7911,Delatnost putničkih agencija
840,7912,Delatnost tur-operatora
841,799,Ostale usluge rezervacije i delatnosti povezane s njima
842,7990,Ostale usluge rezervacije i delatnosti povezane s njima
843,80,Zaštitne i istražne delatnosti
844,801,Delatnost privatnog obezbeđenja
845,8010,Delatnost privatnog obezbeđenja
846,802,Usluge sistema obezbeđenja
847,8020,Usluge sistema obezbeđenja
848,803,Istražne delatnosti
849,8030,Istražne delatnosti
850,81,Usluge održavanja objekata i okoline
851,811,Usluge održavanja objekata
852,8110,Usluge održavanja objekata
853,812,Usluge čišćenja
854,8121,Usluge redovnog čišćenja zgrada
855,8122,Usluge ostalog čišćenja zgrada i opreme
856,8129,Usluge ostalog čišćenja
857,813,Usluge uređenja i održavanja okoline
858,8130,Usluge uređenja i održavanja okoline
859,82,Kancelarijsko-administrativne i druge pomoćne poslovne delatnosti
860,821,Kancelarijsko-administrativne i pomoćne delatnosti
861,8211,Kombinovane kancelarijsko-administrativne usluge
862,8219,"Fotokopiranje, pripremanje dokumenata i druga specijalizovana kancelarijska podrška"
863,822,Delatnost pozivnih centara
864,8220,Delatnost pozivnih centara
865,823,Organizovanje sastanaka i sajmova
866,8230,Organizovanje sastanaka i sajmova
867,829,"Poslovne, pomoćne, uslužne i ostale delatnosti"
868,8291,Delatnost agencija za naplatu potraživanja i kreditnih biroa
869,8292,Usluge pakovanja
870,8299,Ostale uslužne aktivnosti podrške poslovanju
872,84,Javna uprava i odbrana; obavezno socijalno osiguranje
873,841,"Državna uprava, ekonomska i socijalna politika "
874,8411,Delatnost državnih organa
875,8412,"Uređivanje delatnosti subjekata koji pružaju zdravstvenu zaštitu, usluge u obrazovanju i kulturi i druge društvene usluge, osim obaveznog socijalnog osiguranja"
876,8413,Uređenje poslovanja i doprinos uspešnijem poslovanju u oblasti ekonomije
877,842,Pomoćne aktivnosti za funkcionisanje države
878,8421,Spoljni poslovi
879,8422,Poslovi odbrane
880,8423,Sudske i pravosudne delatnosti
881,8424,Obezbeđivanje javnog reda i bezbednosti
882,8425,Delatnost vatrogasnih jedinica
883,843,Obavezno socijalno osiguranje
884,8430,Obavezno socijalno osiguranje
886,85,Obrazovanje
887,851,Predškolsko obrazovanje
888,8510,Predškolsko obrazovanje
889,852,Osnovno obrazovanje
890,8520,Osnovno obrazovanje
891,853,Srednje obrazovanje
892,8531,Srednje opšte obrazovanje
893,8532,Srednje stručno obrazovanje
894,854,Visoko obrazovanje
895,8541,Obrazovanje posle srednjeg koje nije visoko
896,8542,Visoko obrazovanje
897,855,Ostalo obrazovanje
898,8551,Sportsko i rekreativno obrazovanje
899,8552,Umetničko obrazovanje
900,8553,Delatnost škola za vozače
901,8559,Ostalo obrazovanje
902,856,Pomoćne obrazovne delatnosti
903,8560,Pomoćne obrazovne delatnosti
905,86,Zdravstvene delatnosti
906,861,Delatnost bolnica
907,8610,Delatnost bolnica
908,862,Medicinska i stomatološka praksa
909,8621,Opšta medicinska praksa
910,8622,Specijalistička medicinska praksa
911,8623,Stomatološka praksa
912,869,Ostala zdravstvena zaštita
913,8690,Ostala zdravstvena zaštita
914,87,Socijalna zaštita sa smeštajem
915,871,Delatnosti smeštajnih ustanova s medicinskom negom
916,8710,Delatnosti smeštajnih ustanova s medicinskom negom
917,872,"Socijalno staranje u smeštajnim ustanovama za lica s teškoćama u razvoju, duševno obolele osobe i osobe s bolestima zavisnosti"
918,8720,"Socijalno staranje u smeštajnim ustanovama za lica s teškoćama u razvoju, duševno obolele osobe i osobe s bolestima zavisnosti"
919,873,Rad ustanova za stara lica i lica s posebnim potrebama
920,8730,Rad ustanova za stara lica i lica s posebnim potrebama
921,879,Ostali oblici socijalne zaštite sa smeštajem
922,8790,Ostali oblici socijalne zaštite sa smeštajem
923,88,Socijalna zaštita bez smeštaja
924,881,Socijalna zaštita bez smeštaja za stara lica i lica s posebnim potrebama
925,8810,Socijalna zaštita bez smeštaja za stara lica i lica s posebnim potrebama
926,889,Ostala socijalna zaštita bez smeštaja
927,8891,Delatnost dnevne brige o deci
928,8899,Ostala nepomenuta socijalna zaštita bez smeštaja
930,90,"Stvaralačke, umetničke i zabavne delatnosti"
931,900,"Stvaralačke, umetničke i zabavne delatnosti"
932,9001,Izvođačka umetnost
933,9002,Druge umetničke delatnosti u okviru izvođačke umetnosti
934,9003,Umetničko stvaralaštvo
935,9004,Rad umetničkih ustanova
936,91,"Delatnost biblioteka, arhiva, muzeja galerija i zbirki i ostale kulturne delatnosti"
937,910,"Rad biblioteka, arhiva, muzeja, galerija i zbirki, zavoda za zaštitu spomenika kulture i ostale kulturne delatnosti "
938,9101,Delatnosti biblioteka i arhiva
939,9102,Delatnost muzeja galerija i zbirki
940,9103,"Zaštita i održavanje nepokretnih kulturnih dobara, kulturno-istorijskih lokacija, zgrada i sličnih turističkih spomenika"
941,9104,Delatnost botaničkih i zooloških vrtova i zaštita prirodnih vrednosti
942,92,Kockanje i klađenje
943,920,Kockanje i klađenje
944,9200,Kockanje i klađenje
945,93,"Sportske, zabavne i rekreativne delatnosti"
946,931,Sportske delatnosti
947,9311,Delatnost sportskih objekata
948,9312,Delatnost sportskih klubova
949,9313,Delatnost fitnes klubova
950,9319,Ostale sportske delatnosti
951,932,Ostale zabavne i rekreativne delatnosti
952,9321,Delatnost zabavnih i tematskih parkova
953,9329,Ostale zabavne i rekreativne delatnosti
955,94,Delatnosti udruženja
956,941,Delatnost poslovnih i profesionalnih organizacija i poslodavaca
957,9411,Delatnosti poslovnih udruženja i udruženja poslodavaca
958,9412,Delatnosti strukovnih udruženja
959,942,Delatnost sindikata
960,9420,Delatnost sindikata
961,949,Delatnost ostalih organizacija na bazi učlanjenja
962,9491,Delatnost verskih organizacija
963,9492,Delatnost političkih organizacija
964,9499,Delatnost ostalih organizacija na bazi učlanjenja
965,95,Popravka računara i predmeta za ličnu upotrebu i upotrebu u domaćinstvu
966,951,Popravka računara i komunikacione opreme
967,9511,Popravka računara i periferne opreme
968,9512,Popravka komunikacione opreme
969,952,Popravka predmeta za ličnu upotrebu i upotrebu u domaćinstvu
970,9521,Popravka elektronskih aparata za široku upotrebu
971,9522,Popravka aparata za domaćinstvo i kućne i baštenske opreme
972,9523,Popravka obuće i predmeta od kože
973,9524,Održavanje i popravka nameštaja
974,9525,Popravka satova i nakita
975,9529,Popravka ostalih ličnih predmeta i predmeta za domaćinstvo
976,96,Ostale lične uslužne delatnosti
977,960,Ostale lične uslužne delatnosti
978,9601,Pranje i hemijsko čišćenje tekstilnih i krznenih proizvoda
979,9602,Delatnost frizerskih i kozmetičkih salona
980,9603,Pogrebne i srodne delatnosti
981,9604,Delatnost nege i održavanja tela
982,9609,Ostale nepomenute lične uslužne delatnosti
984,97,Delatnost domaćinstava koja zapošljavaju poslugu
985,970,Delatnost domaćinstava koja zapošljavaju poslugu
986,9700,Delatnost domaćinstava koja zapošljavaju poslugu
987,98,Delatnost domaćinstava koja proizvode robu i usluge za sopstvene potrebe
988,981,Delatnost domaćinstava koja proizvode robu za sopstvene potrebe
989,9810,Delatnost domaćinstava koja proizvode robu za sopstvene potrebe
990,982,Delatnost domaćinstava koja obezbeđuju usluge za sopstvene potrebe
991,9820,Delatnost domaćinstava koja obezbeđuju usluge za sopstvene potrebe
993,99,Delatnost eksteritorijalnih organizacija i tela
994,990,Delatnost eksteritorijalnih organizacija i tela
995,9900,Delatnost eksteritorijalnih organizacija i tela
