,ŠIFRA,NAZIV
134,1200,Proizvodnja duvanskih proizvoda
135,13,Proizvodnja tekstila
136,131,Priprema i predenje tekstilnih vlakana
137,1310,Priprema i predenje tekstilnih vlakana
138,132,Proizvodnja tkanina
139,1320,Proizvodnja tkanina
140,133,Dovršavanje tekstila
141,1330,Dovršavanje tekstila
142,139,Proizvodnja ostalog tekstila
143,1391,Proizvodnja pletenih i kukičanih materijala
144,1392,"Proizvodnja gotovih tekstilnih proizvoda, osim odeće"
145,1393,Proizvodnja tepiha i prekrivača za pod
146,1394,"Proizvodnja užadi, kanapa, pletenica i mreža"
147,1395,"Proizvodnja netkanog tekstila i predmeta od njega, osim odeće"
148,1396,Proizvodnja ostalog tehničkog i industrijskog tekstila
149,1399,Proizvodnja ostalih tekstilnih predmeta
150,14,Proizvodnja odevnih predmeta
151,141,"Proizvodnja odeće, osim krznene"
152,1411,Proizvodnja kožne odeće
153,1412,Proizvodnja radne odeće
154,1413,Proizvodnja ostale odeće
155,1414,Proizvodnja rublja
156,1419,Proizvodnja ostalih odevnih predmeta i pribora
157,142,Proizvodnja proizvoda od krzna
158,1420,Proizvodnja proizvoda od krzna
159,143,Proizvodnja pletene i kukičane odeće
160,1431,Proizvodnja pletenih i kukičanih čarapa
161,1439,Proizvodnja ostale pletene i kukičane odeće
162,15,Proizvodnja kože i predmeta od kože
163,151,Štavljenje i dorada kože; proizvodnja putničkih i ručnih torbi i kaiševa; dorada i bojenje krzna
164,1511,Štavljenje i dorada kože; dorada i bojenje krzna
165,1512,"Proizvodnja putnih i ručnih torbi i sl., saračkih proizvoda i kaiševa"
166,152,Proizvodnja obuće
167,1520,Proizvodnja obuće
168,16,"Prerada drveta i proizvodi od drveta, plute, slame i pruća, osim nameštaja"
169,161,Rezanje i obrada drveta
170,1610,Rezanje i obrada drveta
171,162,"Proizvodnja proizvoda od drveta, plute, pruća i slame"
172,1621,Proizvodnja furnira i ploča od drveta
173,1622,Proizvodnja parketa
174,1623,Proizvodnja ostale građevinske stolarije i elemenata
175,1624,Proizvodnja drvne ambalaže
176,1629,"Proizvodnja ostalih proizvoda od drveta, plute, slame i pruća"
177,17,Proizvodnja papira i proizvoda od papira
178,171,"Proizvodnja celuloze, papira i kartona"
179,1711,Proizvodnja vlakana celuloze
180,1712,Proizvodnja papira i kartona
181,172,Proizvodnja predmeta od papira i kartona
182,1721,Proizvodnja talasastog papira i kartona i ambalaže od papira i kartona
183,1722,Proizvodnja predmeta od papira za ličnu upotrebu i upotrebu u domaćinstvu
184,1723,Proizvodnja kancelarijskih predmeta od papira
185,1724,Proizvodnja tapeta
186,1729,Proizvodnja ostalih proizvoda od papira i kartona
187,18,Štampanje i umnožavanje audio i video zapisa
188,181,Štampanje i štamparske usluge
189,1811,Štampanje novina
190,1812,Ostalo štampanje
191,1813,Usluge pripreme za štampu
192,1814,Knjigovezačke i srodne usluge
193,182,Umnožavanje snimljenih zapisa
194,1820,Umnožavanje snimljenih zapisa
195,19,Proizvodnja koksa i derivata nafte
196,191,Proizvodnja produkata koksovanja
197,1910,Proizvodnja produkata koksovanja
198,192,Proizvodnja derivata nafte
199,1920,Proizvodnja derivata nafte
200,20,Proizvodnja hemikalija i hemijskih proizvoda
201,201,"Proizvodnja osnovnih hemikalija, veštačkih đubriva i azotnih jedinjenja, plastičnih i sintetičkih masa"
202,2011,Proizvodnja industrijskih gasova
203,2012,Proizvodnja sredstava za pripremanje boja i pigmenata
204,2013,Proizvodnja ostalih osnovnih neorganskih hemikalija
205,2014,Proizvodnja ostalih osnovnih organskih hemikalija
206,2015,Proizvodnja veštačkih đubriva i azotnih jedinjenja
207,2016,Proizvodnja plastičnih masa u primarnim oblicima
208,2017,Proizvodnja sintetičkog kaučuka u primarnim oblicima
209,202,Proizvodnja pesticida i hemikalija za poljoprivredu
210,2020,Proizvodnja pesticida i hemikalija za poljoprivredu
211,203,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
212,2030,"Proizvodnja boja, lakova i sličnih premaza, grafičkih boja i kitova"
213,204,"Proizvodnja deterdženata, sapuna drugih sredstava za čišćenje, poliranje, parfema i toaletnih preparata"
214,2041,"Proizvodnja deterdženata, sapuna sredstava za čišćenje i poliranje"
215,2042,Proizvodnja parfema i toaletnih preparata
216,205,Proizvodnja ostalih hemijskih proizvoda
217,2051,Proizvodnja eksploziva
218,2052,Proizvodnja sredstava za lepljenje
219,2053,Proizvodnja eteričnih ulja
220,2059,Proizvodnja ostalih hemijskih proizvoda
221,206,Proizvodnja veštačkih vlakana
222,2060,Proizvodnja veštačkih vlakana
223,21,Proizvodnja osnovnih farmaceutskih proizvoda i preparata
224,211,Proizvodnja osnovnih farmaceutskih proizvoda
225,2110,Proizvodnja osnovnih farmaceutskih proizvoda
226,212,Proizvodnja farmaceutskih preparata
227,2120,Proizvodnja farmaceutskih preparata
228,22,Proizvodnja proizvoda od gume i plastike
229,221,Proizvodnja proizvoda od gume
230,2211,"Proizvodnja guma za vozila, protektiranje guma za vozila"
231,2219,Proizvodnja ostalih proizvoda od gume
232,222,Proizvodnja proizvoda od plastike
233,2221,"Proizvodnja ploča, listova, cevi i profila od plastike"
234,2222,Proizvodnja ambalaže od plastike
235,2223,Proizvodnja predmeta od plastike za građevinarstvo
236,2229,Proizvodnja ostalih proizvoda od plastike
237,23,Proizvodnja proizvoda od ostalih nemetalnih minerala
238,231,Proizvodnja stakla i proizvoda od stakla
239,2311,Proizvodnja ravnog stakla
240,2312,Oblikovanje i obrada ravnog stakla
241,2313,Proizvodnja šupljeg stakla
242,2314,Proizvodnja staklenih vlakana
243,2319,"Proizvodnja i obrada ostalog stakla, uključujući tehničke staklene proizvode"
244,232,Proizvodnja vatrostalnih proizvoda
245,2320,Proizvodnja vatrostalnih proizvoda
246,233,Proizvodnja građevinskih materijala od gline
247,2331,Proizvodnja keramičkih pločica i ploča
248,2332,"Proizvodnja opeke, crepa i građevinskih proizvoda od pečene gline"
249,234,Proizvodnja ostalih keramičkih i porcelanskih proizvoda
250,2341,Proizvodnja keramičkih predmeta za domaćinstvo i ukrasnih predmeta
251,2342,Proizvodnja sanitarnih keramičkih proizvoda
252,2343,Proizvodnja izolatora i izolacionog pribora od keramike
253,2344,Proizvodnja ostalih tehničkih proizvoda od keramike
